Longitude,Latitude
-114.187810715547,51.0776973738964
-114.18778437741,51.0814685602848
-114.193613317853,51.0814630349101
-114.209414293106,51.0814423890897
-114.209423657014,51.0835116338118
-114.20857997012,51.0846726405587
-114.212604442029,51.0860746447674
-114.210362140953,51.0886965647392
-114.211088252892,51.0890950323968
-114.211362178186,51.0892354075608
-114.212362237233,51.0897742435518
-114.212851758783,51.089813867173
-114.221960457778,51.0947202793268
-114.222243253489,51.0945122317885
-114.222597430594,51.0947032618618
-114.22259797368,51.0950634697025
-114.223002967159,51.0952815766493
-114.222436840199,51.0956978024243
-114.222605221893,51.0957884115701
-114.222602802808,51.0967073238193
-114.222607193645,51.0978277919319
-114.21109669762,51.0978490647709
-114.211096251668,51.0993068598274
-114.211091419127,51.1250090639301
-114.152950135736,51.124994495487
-114.118059841199,51.1250034143193
-114.094800524471,51.1249802382132
-114.071536410176,51.1250005345195
-114.048273928957,51.1250163273557
-114.025079185792,51.1250975804593
-114.025076279862,51.1397515259658
-114.00139532262,51.1397545662102
-113.993276389976,51.1397594118543
-113.989557880408,51.1397615814599
-113.981792235769,51.1397657580398
-113.978126001018,51.1397635414003
-113.966694184543,51.1397558996557
-113.958531040336,51.1397497448306
-113.955262158679,51.1397511777345
-113.946751275213,51.1397549464519
-113.935259528431,51.1397589443831
-113.93526191616,51.1141840861919
-113.935213267901,51.1106272853303
-113.935219228168,51.096078002653
-113.935242377461,51.0814719763196
-113.935263664147,51.0668846719651
-113.935276556188,51.0524112369286
-113.935279231102,51.0470710442131
-113.935283689222,51.0405953975998
-113.935285511014,51.0377706919622
-113.93529888038,51.0091424820336
-113.935298409566,51.0077110032869
-113.935309226639,51.0014347766556
-113.935344254552,50.9797321258029
-113.935340271011,50.9778581023351
-113.935335309832,50.9758915363015
-113.935336499896,50.9735960606845
-113.935340394579,50.9718453883908
-113.935348934208,50.9549534361624
-113.935349872603,50.9543232546315
-113.935357341253,50.950419903558
-113.935344451143,50.9360305208975
-113.981708359732,50.9358963819649
-113.98165801773,50.9212470475983
-113.987908354967,50.9212504368153
-113.987913164204,50.9212375583478
-113.987949318788,50.9211380013702
-113.987994142839,50.9210407287121
-113.988025960009,50.9209489358593
-113.988057777874,50.9208539443812
-113.988100434119,50.9207557589785
-113.988143093319,50.9206452411796
-113.988187194248,50.9205525361468
-113.988240687686,50.9204538941964
-113.988299235122,50.9203684975837
-113.988332480484,50.9203397295525
-113.98833393646,50.9202958858307
-113.988358525473,50.9202118549541
-113.988407680529,50.9201237172172
-113.988409126443,50.9201200638549
-113.988461173753,50.9200278152881
-113.988518279859,50.9199236932995
-113.988565992525,50.9198282474387
-113.988645495871,50.9197286953571
-113.988719214165,50.9196487802567
-113.988797275505,50.9195400932647
-113.988873882776,50.9194620050944
-113.988963498208,50.9193688473892
-113.989046609935,50.9192857361465
-113.989069774098,50.919259802377
-113.989113279477,50.9191886152069
-113.989172294355,50.9190976435275
-113.989230884419,50.919009978273
-113.989288018159,50.9189336428602
-113.989358846141,50.9188450491026
-113.989363181978,50.9188409393026
-113.989432564713,50.9187523453672
-113.989533740723,50.91865051118
-113.989617573548,50.9185632884911
-113.989688400645,50.9184733244628
-113.98975923218,50.9183618960369
-113.989786713025,50.9182591399626
-113.989838753914,50.9181678041285
-113.989912471351,50.9180709898837
-113.990017259877,50.9179632177294
-113.990114099156,50.9178563572843
-113.990178419426,50.9177787238831
-113.990222506628,50.9177125059637
-113.990272377892,50.9176316726811
-113.990338142516,50.9175540393093
-113.990344646199,50.9175467328322
-113.990419804747,50.9174585954565
-113.990475454524,50.9173805035873
-113.990537608381,50.9172919083832
-113.990598315614,50.9172106200437
-113.990651797609,50.9171316145356
-113.990705999456,50.9170576326325
-113.990778266716,50.9169694947885
-113.990846201303,50.9168767887749
-113.990916299685,50.9167936742461
-113.990974115808,50.9167123854793
-113.991016035299,50.9166443394276
-113.991070963305,50.9165598535689
-113.991125164724,50.9164886115951
-113.991182677184,50.9164299305778
-113.991197059051,50.9164084475243
-113.991247678608,50.9163325933867
-113.99131348222,50.916248515468
-113.991357594323,50.9161772312778
-113.991419780543,50.9160958949585
-113.991469677461,50.9160172987381
-113.991511620869,50.9159432723991
-113.991567303399,50.9158605636613
-113.99163165756,50.9157792273813
-113.991713361875,50.9156946936792
